pt_1	portuguese	as equipes contratadas pelo departamento de estradas de rodagem do paraná (der/pr) estão fazendo a primeira camada de asfalto no trecho da rodovia que passa por baixo da trincheira da jacob macanhan e também nos acessos laterais para a avenida camilo di lellis e para os bairros da região de pinhais	estradas	0.08	ruas	ruas	caminhos	caminhos	vias	rodovias
pt_2	portuguese	atenta à necessidade de melhorar a transparência dos fundos, a entidade lançará em seu congresso que começa nesta segunda-feira, 12, em florianópolis, o seu primeiro código de governança de investimentos, de adesão voluntária dos fundos	transparência	0.24	clareza	clareza	clareza	translucidez	visibilidade	publicidade
pt_3	portuguese	E o sacerdote fará expiação por toda a congregação dos filhos de Israel, e lhes será perdoado, porquanto foi por ignorância; e trouxeram a sua oferta, oferta queimada ao SENHOR, e a sua expiação do pecado perante o SENHOR, por causa da sua ignorância.	expiação	0.55	purificação	purificação	perdão	perdão	penitência	perdao
pt_4	portuguese	Não te assenhorearás dele com rigor, mas do teu Deus terás temor.	rigor	0.31	firmeza	firmeza	dureza	força	duro	severidade
pt_5	portuguese	outro: a luta contra a corrupção é progressiva quando prende empreiteiros que ganharam contratos milionários na petrobrás, mas reacionária quando a investigação é, tortuosamente, manipulada para criminalizar somente o pt	empreiteiros	0.36	construtores	construtores	construtores	empresarios	empresarios
pt_6	portuguese	para que a organização criminosa alcançasse sucesso e pudesse praticar crimes ao longo dos anos, foi necessária a formatação de uma base empresarial, burocrática, técnica e política que desse sustentação aos atos criminosos	atos	0.12	atitudes	atitudes	atitudes	ações	ações	ações	feitos	práticas
pt_7	portuguese	Como também os ratos de ouro, segundo o número de todas as cidades dos filisteus, pertencentes aos cinco príncipes, desde as cidades fortificadas até às aldeias, e até Abel. A grande pedra, sobre a qual puseram a arca do SENHOR, ainda está até ao dia de hoje no campo de Josué, o bete-semita.	aldeias	0.06	cidades	cidades	vilas	vilas	terras	localidades
pt_8	portuguese	no percurso rápido, estamos buscando uma vida mais agitada e audaciosa, que nos proporcione maiores triunfos, apesar dos perigos	perigos	0.13	dificuldades	riscos	acidenge	apuro	percalços
pt_9	portuguese	E, navegando dali, chegamos no dia seguinte defronte de Quios, e no outro aportamos a Samos e, ficando em Trogílio, chegamos no dia seguinte a Mileto.	navegando	0.18	velejando	velejando	viajando	boiand	viajando de barco
pt_10	portuguese	por isso, os países sócios adotam uma política única de taxação de produtos importados, a chamada tarifa externa comum (tec)	produtos	0.06	itens	itens	itens	mercadorias	mercadorias	objetos
pt_11	portuguese	o pesquisador paulo barreto, do imazon, acrescentou mais cinco medidas contra o desmatamento: cobrar o imposto rural, expandir a moratória da soja ao cerrado, fechar o mercado para a carne ilegal, dar crédito só para quem cumpre a lei e inovar nas táticas de combate	moratória	0.55	suspensão	suspensão	pausa	morada	divida	armazem
pt_12	portuguese	vários líderes da guerrilha o rodeavam, vestindo camisetas com o novo slogan das farc: reconciliação nacional, paz com justiça social e democracia avançada	democracia	0.23	processos democráticos	liberdade	doutrina democrática	direito	soberania popular
pt_13	portuguese	buzzi entendeu que a condenação poderia comprometer a própria estrutura de subsistência familiar	subsistência	0.48	sobrevivência	sobrevivência	sustento	estabilidade	manutenção	conservação	sobreviver
pt_14	portuguese	Como terapêutica de life-saving, optou-se por realizar fibrinólise com fator ativador do plasminogénio tecidual, através do dreno torácico, o que ocorreu com sucesso e sem complicações.	ativador	0.25	estimulador	estimulador	reabilitador	acionador	gerador	iniciador
pt_15	portuguese	Todavia tu, pela multidão das tuas misericórdias, não os deixaste no deserto. A coluna de nuvem nunca se apartou deles de dia, para os guiar pelo caminho, nem a coluna de fogo de noite, para lhes iluminar; e isto pelo caminho por onde haviam de ir.	misericórdias	0.38	bondades	bondades	perdão	compaixões	bençãos
pt_16	portuguese	Usando a mesma estratégia do grupo da EAPC, efetuamos uma pesquisa sistemática da literatura nas bases de dados eletrónicas PubMed e Scopus incluindo estudos originais em adultos com cancro avançado, sem tratamento dirigido à neoplasia, com sobrevivência mediana inferior a 90 dias.	bases	0.29	registros	eixo	bancos	superfície	localidades
pt_17	portuguese	Porque, devendo já ser mestres pelo tempo, ainda necessitais de que se vos torne a ensinar quais sejam os primeiros rudimentos das palavras de Deus; e vos haveis feito tais que necessitais de leite, e não de sólido mantimento.	rudimentos	0.58	fundamentos	fundamentos	fundamentos	fundamentos	argumentos	princípios	origens	inícios	antigos
pt_18	portuguese	Depois tomarás do sangue do novilho, e o porás com o teu dedo sobre as pontas do altar, e todo o sangue restante derramarás à base do altar.	novilho	0.38	bezerro	bezerro	bezerro	bezerro	vitelo	novilho
pt_19	portuguese	Nem jurarás pela tua cabeça, porque não podes tornar um cabelo branco ou preto.	cabelo	0.1	fio	fio	fio	mecha	pêlos
pt_20	portuguese	Grupo 1 (com puberdade e menarca espontânea): 20 (25,3%) doentes, 16,1 ± 8,9 anos.	puberdade	0.32	adolescência	adolescência	adolescencia	adolescencia	juventude
pt_21	portuguese	A transmissão da doença ocorreu predominantemente em ambiente escolar, com taxas de ataque < 30%.	ataque	0.25	contaminação	contaminação	dano	transmissão	infecção	eficácia	agressão
pt_22	portuguese	eles foram levados pela enxurrada e parte do gramado das margens também foram levados pelas águas	margens	0.23	beiras	beiras	beiras	partes perto da margem	laterais
pt_23	portuguese	Indo, pois, ter com ele os samaritanos, rogaram-lhe que ficasse com eles; e ficou ali dois dias.	samaritanos	0.48	bondosos	caridosos	pessoas	de samaria	estrangeiros	rapazes
pt_24	portuguese	Inclinai os vossos ouvidos, e vinde a mim; ouvi, e a vossa alma viverá; porque convosco farei uma aliança perpétua, dando-vos as firmes beneficências de Davi.	beneficências	0.49	bondades	bondades	bençãos	bençãos	benevolências	benefícios
pt_25	portuguese	tóquio volta a cair de olho em boj – influenciada por incertezas antes da reunião do banco do japão da próxima semana, a bolsa de tóquio recuou pelo segundo pregão consecutivo o nikkei caiu 1,26%, depois de registrar recuo de 0,69% ontem	incertezas	0.08	dúvidas	dúvidas	dúvidas	dúvidas	impossibilidades	indefinições
pt_26	portuguese	E até pelos pais, e irmãos, e parentes, e amigos sereis entregues; e matarão alguns de vós.	pais	0.07	genitores	genitores	familia	progenitores	nação
pt_27	portuguese	Para o que (digo a verdade em Cristo, não minto) fui constituído pregador, e apóstolo, e doutor dos gentios na fé e na verdade.	gentios	0.46	agnósticos	não judeus	multidão	caridosos	clã	estrangeiros	grupos
pt_28	portuguese	galdino precisou ser controlado por colegas e acabou preso pela guarda municipal	colegas	0.13	amigos	amigos	conhecidos	conhecidos	companheiros de trabalho
pt_29	portuguese	A mulher virtuosa é a coroa do seu marido, mas a que o envergonha é como podridão nos seus ossos.	podridão	0.2	sujeira	carniça	podre	ferida	deprevação
pt_30	portuguese	Na avaliação da classificação das três colunas, a reprodutibilidade interobservador foi de 0,47 (p < 0,0001), classificada como concordância moderada.	coluna	0.15	pilar	pilares	base	tabela	grupos	costas
